CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,CAUCA,19100,BOLÍVAR,- 0,- 0,0.69,- 0,3.00,21.00,14.00,4.00,108.00,142.00,16.00,20.00,1.00,24.00,48.98,51.71,85.31,15.90,4.19,9.58,194.88,78.68
19,CAUCA,19110,BUENOS AIRES,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10.00,5.00,- 0,- 0,- 0,- 0,16.00,27.00,2.20,64.54,125.74,442.79,507.22,930.43,794.28
19,CAUCA,19130,CAJIBÍO,30.48,- 0,- 0,- 0,4.00,- 0,- 0,- 0,2.00,- 0,- 0,7.00,- 0,15.00,68.95,132.45,407.19,323.07,355.09,235.23,325.62,364.41
19,CAUCA,19137,CALDONO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,66.11,76.36
19,CAUCA,19142,CALOTO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16.10,26.26,- 0,1.60,18.45,9.97,8.06,7.58
19,CAUCA,19212,CORINTO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,26.70,38.91,- 0,10.54,10.88,8.48,11.34,8.46
19,CAUCA,19256,EL TAMBO,"1,303.03",698.00,187.00,203.00,629.00,307.00,803.00,"1,240.00","1,284.00","1,560.00","1,514.00","1,876.00","1,297.00","2,522.00","3,468.18","5,300.28","6,661.01","7,242.99","7,102.46",7483.6,"8,737.35",9223.56
19,CAUCA,19290,FLORENCIA,- 0,- 0,- 0,- 0,- 0,8.00,- 0,- 0,12.00,29.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
19,CAUCA,19318,GUAPI,55.42,102.00,146.00,374.00,489.00,121.00,414.00,"1,434.00","1,368.00","1,022.00",984.00,396.00,182.00,191.00,256.88,525.78,720.88,678.57,634.89,594.68,"1,825.15",1558.85
19,CAUCA,19364,JAMBALÓ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,68.96,39.14,60.52,35.86
19,CAUCA,19392,LA SIERRA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
19,CAUCA,19397,LA VEGA,- 0,- 0,- 0,- 0,- 0,8.00,- 0,1.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
19,CAUCA,19418,LÓPEZ,57.97,97.00,15.00,59.00,63.00,79.00,273.00,476.00,921.00,791.00,"1,040.00",341.00,548.00,686.00,867.22,941.41,"1,467.97","1,319.76","1,308.33",1085.09,"1,774.56",1656.51
19,CAUCA,19450,MERCADERES,- 0,- 0,2.97,- 0,- 0,31.00,8.00,- 0,75.00,137.00,420.00,17.00,21.00,120.00,95.06,140.70,126.54,25.14,- 0,0,45.46,25.3
19,CAUCA,19455,MIRANDA,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3.67,5.98,- 0,2.27,58.69,34.51,38.46,30.87
19,CAUCA,19473,MORALES,101.98,- 0,- 0,- 0,9.00,10.00,118.00,29.00,32.00,55.00,32.00,76.00,17.00,70.00,155.25,166.89,340.32,309.79,361.67,393.41,648.76,783.82
19,CAUCA,19532,PATÍA  (El Bordo),- 0,- 0,- 0,- 0,6.00,83.00,48.00,105.00,109.00,82.00,51.00,58.00,76.00,97.00,203.53,327.96,350.34,405.01,376.95,485.32,865.86,1110.25
19,CAUCA,19533,PIAMONTE,899.15,818.00,651.00,281.00,517.00,594.00,669.00,523.00,165.00,131.00,253.00,516.00,461.00,602.00,"1,166.89","1,458.49","1,780.44","1,997.22","1,905.07",867.1,"1,550.09",2771.18
19,CAUCA,19548,PIENDAMÓ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,8.58,12.49
19,CAUCA,19622,ROSAS,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2.78,3.89,- 0,0,10.92,12.82
19,CAUCA,19701,SANTA ROSA,- 0,3.00,0.36,- 0,229.00,135.00,- 0,16.00,12.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,54.85,0,- 0,68.66
19,CAUCA,19698,SANTANDER DE QUILICHAO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5.46,356.05,166.01
19,CAUCA,19760,SOTARÁ (Paispamba),24.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
19,CAUCA,19780,SUÁREZ,2.00,- 0,- 0,- 0,- 0,- 0,32.00,32.00,4.00,1.00,- 0,- 0,1.00,49.00,139.65,170.45,267.19,383.53,501.67,668.49,804.74,923.52
19,CAUCA,19785,SUCRE,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5.00,17.00,15.57,18.67,13.50,6.80,4.00,8.49,46.19,28.21
19,CAUCA,19807,TIMBÍO,40.92,- 0,- 0,- 0,- 0,3.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,1.35
19,CAUCA,19809,TIMBIQUÍ,188.68,185.00,253.00,260.31,579.00,453.00,960.00,"1,050.00","1,698.00","1,581.00","1,494.00",507.00,572.00,572.00,907.47,"1,405.67","1,633.45","1,696.92","1,464.04",1263.01,"3,376.08",2896.79
19,CAUCA,19821,TORIBÍO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,9.47,14.85,- 0,- 0,9.97,1.49,2.41,1.03
20,CESAR,20178,CHIRIGUANÁ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2.43,- 0,- 0,0,- 0,- 0
20,CESAR,20310,GONZÁLEZ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5.00,4.00,2.00,16.22,6.58,7.78,7.10,23.55,28.51,9.29,7.68
20,CESAR,20517,PAILITAS,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
20,CESAR,20710,SAN ALBERTO,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,6.00,5.00,15.47,17.25,10.72,13.79,6.28,1.97,- 0,- 0
20,CESAR,20770,SAN MARTÍN,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3.00,3.00,3.00,1.58,2.57,3.42,10.21,8.33,1.74,1.32,- 0
27,CHOCÓ,27006,ACANDÍ,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,6.00,4.00,2.00,4.00,3.34,2.20,8.96,4.47,4.76,1.69,1.29,6.34
27,CHOCÓ,27025,ALTO BAUDÓ (Pie de Pató),- 0,- 0,45.00,12.00,104.00,7.00,259.00,391.00,159.00,489.00,196.00,268.00,105.00,135.00,47.87,57.97,39.17,21.62,38.75,34.09,115.75,173.93
27,CHOCÓ,27050,ATRATO (Yuto),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,- 0,- 0,8.00,2.00,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,1.78
27,CHOCÓ,27075,BAHÍA SOLANO (Mutis),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
27,CHOCÓ,27077,BAJO BAUDÓ  (Pizarro),- 0,- 0,177.00,78.00,332.00,82.00,353.00,"1,114.00",147.00,341.00,248.00,562.00,145.00,218.00,131.16,138.22,79.75,53.69,21.53,16.38,91.51,101.64
27,CHOCÓ,27099,BOJAYÁ (Bellavista),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,4.00,2.00,- 0,- 0,- 0,- 0,- 0,- 0,- 0,0,- 0,- 0
27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,63.00,76.00,23.00,48.14,98.28,159.99,153.39,232.42,192.67,778.94,702.58
27,CHOCÓ,27205,CONDOTO,- 0,- 0,- 0,1.00,3.00,- 0,6.00,55.00,13.00,33.00,59.00,10.00,7.00,10.00,20.57,3.36,13.53,11.43,11.23,7.88,20.92,10.26
27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,- 0,- 0,1.35,12.00,48.00,- 0,25.00,52.00,63.00,133.00,68.00,58.00,29.00,50.00,47.82,34.76,11.73,5.51,- 0,0,19.22,22.04
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,- 0,- 0,- 0,1.26,1.98,3.00,11.00,102.00,24.00,60.00,36.00,144.00,67.00,120.00,37.98,98.35,184.52,138.36,59.41,50.94,63.54,81.93
